,Country_ID,Country,Lat,Long,GDP (billion USD),Real GDP 2020 (billion USD),Real GDP 2019 (billion USD),Real GDP 2018 (billion USD),Real GDP Per Capita 2020,Real GDP Per Capita 2019,Real GDP Per Capita 2018,Wasted Generated Annually (million tons),Wasted Recycled Annually (million tons),% of Wasted Recycled Annually,Particulate Matter Emissions (micrograms per m3),C02 Emissions (megatons),Methane  Emissions (megatons),Electricity by Unclean Energy (%),Electricity by Clean Energy (%),Electricity by Fossil Fules (%),Electricity by Nuclear (%),Electricity by Solar (%),Electricity by Wind (%),Electricity by Hydroelectricty (%),Electricity by Tide and Wave (%),Electricity by Geothermal (%),Electricity by Biomass and Waste (%),Urban Population (%),"Net Migration (migrant(s)/1,000 population)",Total Agreement
70,70,Spain,40.00,-4.00,1393.35,1714.86,1923.33,1886.54,36200,40800,40300,20.15,3.39,16.8,9.48,244.0,36.94,32.4,67.6,32.4,21.9,8.1,22.1,13.1,0.0,0.0,2.6,81.3,4.35,29
71,71,Sweden,62.00,-15.00,531.35,524.75,539.96,532.67,50700,52500,52300,4.38,1.42,32.4,5.89,43.25,4.42,1.0,99.0,1.0,29.5,0.7,17.2,44.7,0.0,0.0,6.9,88.5,3.6,29
72,72,Switzerland,47.00,-8.00,731.5,590.71,608.16,601.65,68400,70900,70700,6.06,1.94,32.0,10.21,34.48,4.98,0.8,99.2,0.8,34.2,3.8,0.2,56.3,0.0,0.0,4.7,74.1,4.52,29
73,73,United Kingdom,54.00,-2.00,2827.92,2797.98,3101.64,3059.69,41600,46400,46000,31.57,8.6,27.3,10.53,379.02,49.16,37.8,62.2,37.8,15.2,4.3,25.2,2.6,0.0,0.0,15.0,84.4,3.59,30
74,74,Ukraine,49.00,-32.00,155.08,516.68,538.33,521.52,12400,12800,12300,15.24,0.49,3.2,18.29,202.25,63.37,37.6,62.4,37.6,55.9,1.2,1.4,3.6,0.0,0.0,0.3,69.9,-0.26,21
75,75,Bahrain,26.00,-50.33,38.47,69.65,73.95,72.51,40900,45100,46200,0.95,0.08,8.0,69.04,31.69,15.47,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7,-0.82,12
76,76,Iran,32.00,-53.00,581.25,1044.31,1027.24,1102.0,12400,12400,13500,17.89,0.89,5.0,35.09,661.71,158.71,88.7,11.299999999999997,88.7,1.9,0.1,0.2,9.1,0.0,0.0,0.0,76.8,-0.3,12
77,77,Israel,31.30,-34.45,394.93,353.39,362.23,350.15,38300,40000,39400,5.4,1.35,25.0,19.46,65.17,13.02,93.7,6.299999999999997,93.7,0.0,5.9,0.3,0.0,0.0,0.0,0.0,92.8,2.02,12
78,78,Jordan,31.00,-36.00,44.57,100.16,101.74,99.79,9800,10100,10000,2.53,0.18,7.0,32.09,25.11,6.04,83.5,16.5,83.5,0.0,11.7,4.6,0.2,0.0,0.0,0.0,91.8,-11.08,14
79,79,Lebanon,33.50,-35.50,53.25,79.51,99.76,106.93,11600,14600,15600,2.04,0.16,8.0,30.67,24.8,3.37,94.3,5.700000000000003,94.3,0.0,0.5,0.0,5.0,0.0,0.0,0.2,89.3,-0.94,13
80,80,Qatar,25.30,-51.15,191.29,245.66,255.01,253.05,85300,90000,91000,1.0,0.03,3.0,90.35,103.26,8.34,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,2.45,10
81,81,Saudi Arabia,25.00,-45.00,792.85,1543.24,1609.32,1604.01,44300,47000,47600,16.13,2.42,15.0,78.38,563.45,45.47,99.9,0.09999999999999432,99.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,84.7,5.52,11
82,82,Canada,60.00,-95.00,1741.87,1742.79,1842.33,1808.66,45900,49000,48800,25.1,5.17,20.6,6.48,544.89,101.82,16.5,83.5,16.5,14.7,0.7,5.7,60.8,0.0,0.0,1.6,81.8,5.46,25
83,83,Mexico,23.00,-102.00,1269.96,2306.32,2513.41,2514.78,17900,19700,19900,53.1,2.65,5.0,20.08,486.41,135.77,75.7,24.299999999999997,75.7,3.6,4.4,6.5,7.6,0.0,1.5,0.8,81.3,-0.76,18
84,84,United States,38.00,-97.00,21433.23,19846.72,20563.59,20128.58,60200,62600,61600,258.0,89.27,34.6,7.4,5006.3,685.74,59.9,40.1,59.9,19.5,3.2,8.3,7.0,0.0,0.4,1.7,83.1,3.02,21
85,85,Argentina,-34.00,-64.00,447.47,893.31,991.52,1012.67,19700,22100,22800,17.91,1.07,6.0,11.83,201.35,120.66,65.8,34.2,65.8,7.3,1.0,6.8,17.6,0.0,0.0,1.5,92.3,-0.08,20
86,86,Bolivia,-17.00,-65.00,40.82,92.59,100.45,98.27,7900,8700,8700,2.22,0.27,12.1,20.24,21.61,21.01,64.4,35.599999999999994,64.4,0.0,2.6,0.7,30.5,0.0,0.0,1.8,70.8,-0.98,15
87,87,Brazil,-10.00,-55.00,1877.94,2989.43,3115.91,3072.55,14100,14800,14700,79.89,1.12,1.4,11.49,462.3,401.83,11.8,88.2,11.8,2.3,1.7,9.2,65.8,0.0,0.0,9.2,87.6,-0.19,21
88,88,Chile,-30.00,-71.00,282.65,445.88,473.19,468.77,23300,25000,25000,6.52,0.02,0.4,21.03,85.82,15.97,51.9,48.1,51.9,0.0,9.5,6.9,26.0,0.0,0.3,5.4,87.9,0.33,21
89,89,Colombia,4.00,-72.00,323.25,683.94,734.22,710.89,13400,14600,14300,12.15,2.09,17.2,15.24,97.81,81.52,32.9,67.1,32.9,0.0,0.3,0.1,65.7,0.0,0.0,1.0,82.0,-1.58,17
90,90,Ecuador,-2.00,-77.30,107.44,182.24,197.55,197.53,10300,11400,11600,5.3,0.68,12.9,14.91,41.15,23.51,21.0,79.0,21.0,0.0,0.1,0.2,77.2,0.0,0.0,1.5,64.6,0.0,17
91,91,Guyana,5.00,-59.00,3.56,14.69,10.24,9.72,18700,13100,12500,0.18,0.0,0.5,20.46,2.38,1.81,97.4,2.5999999999999943,97.4,0.0,1.6,0.0,0.0,0.0,0.0,0.9,27.0,-7.42,13
92,92,Peru,-10.00,-76.00,230.71,371.29,417.88,408.87,11300,12900,12800,8.36,0.33,4.0,24.27,57.41,30.17,38.5,61.5,38.5,0.0,1.5,3.5,55.4,0.0,0.0,1.1,78.7,-0.75,18
93,93,Uruguay,-33.00,-56.00,56.11,75.06,79.73,79.45,21600,23000,23000,1.26,0.1,8.0,8.63,6.77,25.59,2.0,98.0,2.0,0.0,3.6,42.2,30.6,0.0,0.0,21.6,95.7,-0.88,19
94,94,Bhutan,27.30,-90.30,2.4,8.42,9.03,8.56,10900,11800,11300,0.11,0.0,0.9,35.32,1.26,1.11,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,43.7,0.0,10
95,95,Sri Lanka,7.00,-81.00,84.02,274.8,284.97,278.68,12500,13100,12900,2.63,0.34,12.8,15.25,23.36,10.95,64.0,36.0,64.0,0.0,0.7,2.3,32.2,0.0,0.0,0.8,19.0,-1.22,13
96,96,India,20.00,-77.00,2835.93,8443.36,9174.04,8817.67,6100,6700,6500,168.4,8.42,5.0,65.2,2407.67,559.11,75.5,24.5,75.5,2.8,4.2,4.6,10.7,0.0,0.0,2.3,35.9,0.16,18
97,97,Pakistan,30.00,-70.00,253.18,1021.13,1015.8,1005.85,4600,4700,4700,30.76,2.46,8.0,55.21,201.15,142.12,55.2,44.8,55.2,8.2,1.0,2.8,31.9,0.0,0.0,0.8,37.7,-0.96,17
